Source;Target;Level;Anzahl Unterordner;Spalte1
2022_02_22 Preparation;BA2_NOMIS;3;0;33
2022_06_05 Research;BA2_NOMIS;3;0;33
2022_07_08 Dreh Magda;BA2_NOMIS;3;0;
2022_07_08 Photoshop ausprobieren;BA2_PlusMinus12.5 persönliches Projekt;3;0;
2022_07_09 InDesign Entwürfe;BA2_PlusMinus12.5 persönliches Projekt;3;1;
2022_07_14 finale Bilder;BA2_PlusMinus12.5 persönliches Projekt;3;0;
2022_07_14 Photoshop Dokumente;BA2_PlusMinus12.5 persönliches Projekt;3;0;
2022_07_14 Trip Wüste;BA2_NOMIS;3;0;
2022_07_18 Broschüre Stolpersteine August 2022;BA2_Stolpersteine Broschüre und Flyer;3;1;
2022_07_21 Geburi-Video Babi;Privat;3;0;
2022_08_02 Schnitt;BA2_NOMIS;3;5;
2022_08_05 Research Romania;BA_2022_08_07 Rumänien;3;0;33
2022_08_09 ausprobieren After Effects;BA2_NOMIS;3;0;
2022_08_29 Fotos nachbearbeiten;BA2_NOMIS;3;0;
2022_09_17 Sound;BA2_NOMIS;3;0;
2022_09_18 Flyer Weihnachtskonzert;Privat;3;1;
2022_09_26 Finale;BA2_NOMIS;3;0;
Anmelden Stadt Luzern;WG;3;0;
Arbeitszeugnisse;Urkunden, Auszeichnungen und Zeugnisse;3;0;
Ausweis;Urkunden, Auszeichnungen und Zeugnisse;3;0;
BA_2022_08_05 Data Skills;Camera Arts;2;1;
BA_2022_08_07 Rumänien;Camera Arts;2;1;33
BA_Field Trip;Camera Arts;2;2;33
BA2_2022_07_19 swch;Fotojobs;3;2;
BA2_2022_09_05 SST Rhetorik Balsthal;Fotojobs;3;0;
BA2_Bilder Los Angeles;Privat;3;1;
BA2_ISA-Vorschläge;Camera Arts;2;0;33
BA2_NOMIS;Camera Arts;2;11;33
BA2_PlusMinus12.5 persönliches Projekt;Camera Arts;2;4;33
Ba2_Schweizerische Studienstiftung;Privat;3;1;
BA2_Stolpersteine Broschüre und Flyer;Camera Arts;2;3;33
BA2_Vorbereitung Austauschjahr;Camera Arts;2;6;33
BA2_Vortrag KSB;Privat;3;1;
Belege;Privat;2;0;33
Belege;Privat;3;0;
Bewerbungsmappe Camera Arts definitiv wörkli Ordner;Privat;3;2;
Bewerbungsunterlagen;Privat;2;1;33
Camera Arts;Documents;1;8;
Camera Arts 1;Salome Erni;3;7;
Camera Arts 2;Privat;2;5;33
Definitive Files;BA2_NOMIS;3;0;
Flyer August 2022;BA2_Stolpersteine Broschüre und Flyer;3;0;
Fotojobs;Jobs;2;3;33
Hackathon;Journalismus;3;0;
in JPEG;Urkunden, Auszeichnungen und Zeugnisse;3;3;
Jobs;Documents;1;2;
Journalismus;Jobs;2;4;33
KABK;BA2_Vorbereitung Austauschjahr;3;0;
Kleines Portfolio;Fotojobs;3;0;
komprimiert;Urkunden, Auszeichnungen und Zeugnisse;3;1;
LZ;Journalismus;3;4;
Planung_Unterkunft;BA2_Field Trip;3;0;33
Portfolio KABK;BA2_Vorbereitung Austauschjahr;3;11;
Privat;Documents;1;8;
Project;BA_2022_08_05 Data Skills;3;0;33
Reisevorbereitungen;BA2_NOMIS;3;0;
Salome Erni;Privat;2;2;33
Sempacher Woche;Journalismus;3;10;
Sprachen;Urkunden, Auszeichnungen und Zeugnisse;3;0;
Steuerfälle;Privat;2;0;33
Steuerfälle;Steuern;3;1;
Steuern;Privat;2;4;33
Steuern Dokumente 2019;Steuern;3;1;
Steuern Dokumente 2020;Steuern;3;1;
Steuern Dokumente 2021;Steuern;3;1;
Stolpersteine FINALE_Salome Erni;BA2_Stolpersteine Broschüre und Flyer;3;2;
Studienstiftung;BA2_Field Trip;3;0;33
Studium;Urkunden, Auszeichnungen und Zeugnisse;3;0;
Tipps und Tricks;Journalismus;3;2;
Unterlagen für HSLU;BA2_Vorbereitung Austauschjahr;3;2;
Unterlagen für sst;BA2_Vorbereitung Austauschjahr;3;0;
Urkunden, Auszeichungen und Zeugnisse;Privat;2;7;33
vorgaben;BA2_Vorbereitung Austauschjahr;3;0;
Vorgaben SST;BA2_Vorbereitung Austauschjahr;3;0;
WG;Privat;2;3;33
WG;Salome Erni;3;3;
WG-Party;WG;3;0;
Wohnung leer;WG;3;0;
